name,loc,par,if,switch,for,while,token,risk level
_getHitExplanationForOneAttr_recurse,28,2,4,0,3,0,210,moderate risk
_jsonRequest,30,1,10,0,0,0,223,moderate risk
request.onload,19,0,2,0,0,0,114,moderate risk
(anonymous),45,2,12,0,1,0,371,moderate risk
search,25,4,5,0,0,0,184,moderate risk
_getFacetFilters,32,1,6,0,5,0,199,moderate risk
$.fn.dotdotdot,57,1,22,0,0,0,337,moderate risk
ellipsis,49,5,8,0,1,0,237,moderate risk
str_format.parse,47,1,5,0,0,2,312,moderate risk
$.fn.editable,39,2,36,0,7,0,362,moderate risk
EventEmitter.prototype.emit,43,1,6,1,1,0,283,moderate risk
(anonymous),213,1,44,0,3,0,1477,moderate risk
Chunk.prototype.section,48,4,11,0,1,0,317,moderate risk
parse_sec_tag_start,63,0,10,0,0,1,362,moderate risk
parse_end_tag,73,0,11,0,0,2,386,moderate risk
parse_filters,79,0,15,0,0,1,448,moderate risk
parse_special,51,0,9,0,0,0,270,moderate risk
parse_frac,54,0,9,0,0,1,286,moderate risk
parse_integer,43,0,8,0,0,1,237,moderate risk
parse_key,60,0,11,0,0,1,349,moderate risk
parse_eol,57,0,14,0,0,0,274,moderate risk
"""drop_ok_code""",14,2,8,0,0,0,160,moderate risk
"""handler""",32,3,6,0,0,0,190,moderate risk
isWorking,17,1,7,0,0,0,194,moderate risk
use,28,2,9,0,0,0,209,moderate risk
split,75,3,13,0,1,2,540,moderate risk
allowsNesting,24,2,5,0,0,0,165,moderate risk
recursiveAddMarkup,27,4,5,0,1,0,307,moderate risk
removeMarkup,31,3,6,0,0,0,277,moderate risk
insertIntoDOM,50,5,10,0,0,0,317,moderate risk
getFirstVisibleChild,21,2,4,0,1,0,183,moderate risk
getLastVisibleChild,21,2,4,0,1,0,185,moderate risk
ua,37,0,4,0,0,0,410,moderate risk
init,35,1,9,0,2,0,374,moderate risk
(anonymous),28,1,7,0,3,0,200,moderate risk
ajax.onreadystatechange,22,0,5,0,0,0,152,moderate risk
SendStream.prototype.pipe,21,1,9,0,0,0,196,moderate risk
SendStream.prototype.send,51,2,9,0,0,0,356,moderate risk
_calcNewPage,48,2,4,2,0,0,273,moderate risk
module.exports,15,1,4,1,0,0,99,moderate risk
clone,28,1,1,1,2,0,179,moderate risk
loadScript,20,2,5,0,0,0,183,moderate risk
loadScript,20,2,5,0,0,0,183,moderate risk
exports.parse,23,1,3,0,1,0,275,moderate risk
(anonymous),5,3,4,0,1,0,159,moderate risk
clone,28,1,1,1,2,0,179,moderate risk
(anonymous),12,0,0,0,0,0,118,moderate risk
clone,28,1,1,1,2,0,179,moderate risk
GA.prototype.initializeClassic,30,0,7,0,0,0,224,moderate risk
Intercom.prototype.identify,30,1,11,0,0,0,329,moderate risk
Olark.prototype.identify,16,1,7,0,0,0,172,moderate risk
Linker.prototype._createLink,80,1,23,0,5,1,447,moderate risk
Linker.Dialog.prototype.show,94,3,11,0,4,0,663,moderate risk
process,49,1,6,0,3,0,436,moderate risk
],27,3,5,0,0,0,193,moderate risk
show,32,3,4,0,0,0,270,moderate risk
createVirtualEvent,33,2,5,0,2,0,255,moderate risk
makeUrlAbsolute,18,2,2,0,0,0,156,moderate risk
success,47,3,9,0,0,0,435,moderate risk
(anonymous),43,1,7,0,0,0,359,moderate risk
$.mobile._handleHashChange,46,1,7,0,0,0,329,moderate risk
"""vmousedown vmousecancel vmouseup vmouseover vmouseout focus blur scrollstart""",32,1,6,0,0,0,247,moderate risk
_create,62,0,14,0,0,0,467,moderate risk
(anonymous),39,1,8,1,0,0,262,moderate risk
(anonymous),33,3,7,0,0,0,227,moderate risk
keydown,40,1,2,2,0,0,257,moderate risk
_create,38,0,3,0,0,0,282,moderate risk
_buildList,76,0,8,0,1,0,560,moderate risk
(anonymous),18,2,4,0,0,0,179,moderate risk
_useTransition,16,1,0,0,0,0,137,moderate risk
this.parse_TagContent,41,0,0,1,0,0,140,moderate risk
parse_EQName,58,0,0,1,0,0,194,moderate risk
(anonymous),68,5,8,0,0,0,509,moderate risk
(anonymous),36,5,9,0,0,1,327,moderate risk
(anonymous),29,5,5,0,0,0,276,moderate risk
this.$getDefaultValue,37,2,3,1,0,0,233,moderate risk
(anonymous),28,0,4,0,1,0,218,moderate risk
this.resolveVariables,37,2,6,0,1,0,235,moderate risk
this.$getScope,22,1,5,0,0,0,165,moderate risk
this.findMatchingSnippet,16,3,3,0,1,0,171,moderate risk
this.onChange,43,1,11,0,1,0,347,moderate risk
(anonymous),19,2,6,0,0,0,180,moderate risk
this.filterCompletions,33,2,4,0,1,0,270,moderate risk
url,36,2,8,0,0,0,271,moderate risk
Polling.prototype.uri,20,0,4,0,0,0,160,moderate risk
WS.prototype.uri,20,0,4,0,0,0,146,moderate risk
